      1,          -3.,           3.,           0.
      2,          -1.,           3.,           0.
      3,           1.,           3.,           0.
      4,           3.,           3.,           0.
      5,          -3.,           1.,           0.
      6,          -1.,           1.,           0.
      7,           1.,           1.,           0.
      8,           3.,           1.,           0.
      9,          -3.,          -1.,           0.
     10,          -1.,          -1.,           0.
     11,           1.,          -1.,           0.
     12,           3.,          -1.,           0.
     13,          -3.,          -3.,           0.
     14,          -1.,          -3.,           0.
     15,           1.,          -3.,           0.
     16,           3.,          -3.,           0.
     17,          -3.,           3.,           2.
     18,          -1.,           3.,           2.
     19,           1.,           3.,           2.
     20,           3.,           3.,           2.
     21,          -3.,           1.,           2.
     22,          -1.,           1.,           2.
     23,           1.,           1.,           2.
     24,           3.,           1.,           2.
     25,          -3.,          -1.,           2.
     26,          -1.,          -1.,           2.
     27,           1.,          -1.,           2.
     28,           3.,          -1.,           2.
     29,          -3.,          -3.,           2.
     30,          -1.,          -3.,           2.
     31,           1.,          -3.,           2.
     32,           3.,          -3.,           2.
